id,store_id,year_recorded,unit,civic_number,street_name,name,category,latitude,longitude
153,2481,2020,N/A,1093,GRANVILLE ST,Helen's Grocery,Convenience Goods,49.27853628692521,-123.12469250035392
154,2482,2020,N/A,1097,GRANVILLE ST,XXX Adult Superstore,Entertainment and Leisure,49.27853628692521,-123.12469250035392
155,2483,2020,N/A,1100,GRANVILLE ST,Sniki Tiki,Food & Beverage,49.277800865087826,-123.12462651617916
156,2484,2020,N/A,1105,GRANVILLE ST,8th & Main,Comparison Goods,49.2782593368807,-123.12511110984043
157,2487,2020,N/A,1129,GRANVILLE ST,I-Exit Game Downtown Inc,Entertainment and Leisure,49.2780156773963,-123.12547918768693
158,2491,2020,N/A,1143,GRANVILLE ST,Triple M Buy & Sell,Comparison Goods,49.27791833417839,-123.12562657320146
159,2497,2020,N/A,1162,GRANVILLE ST,Wings on Granville,Food & Beverage,49.27719217158125,-123.12554647438049
160,2498,2020,N/A,1163,GRANVILLE ST,Cabana,Food & Beverage,49.277723778456505,-123.12592138681967
161,2501,2020,N/A,1173,GRANVILLE ST,Mr Greek Donair Town,Food & Beverage,49.277625975244895,-123.12606856182053
162,2502,2020,N/A,1175,GRANVILLE ST,"Grade ""A"" Steak & Seafood Rest",Food & Beverage,49.277577386707215,-123.12614205159947
163,2512,2020,N/A,1230,GRANVILLE ST,Vancity Barber Shop,Service Commercial,49.27662511607424,-123.1264027864483
164,2513,2020,N/A,1250,GRANVILLE ST,Enterprise Car Rentals,Automotive Goods & Services,49.27643024317205,-123.12669707294728
165,2516,2020,1,1256,GRANVILLE ST,Lions MMA,Entertainment and Leisure,49.27633297965912,-123.12684415734178
166,2517,2020,N/A,1259,GRANVILLE ST,Future Hair Training Centre,Service Commercial,49.27669392371297,-123.12747717840762
167,2518,2020,N/A,1265,GRANVILLE ST,Plus Alpha Food & Beverages,Food & Beverage,49.27657219859618,-123.12766090944993
168,2519,2020,N/A,1275,GRANVILLE ST,Spirit of Howe Lounge (aka Mango),Food & Beverage,49.276474944450385,-123.12780817662163
169,2522,2020,N/A,1294,GRANVILLE ST,7-Eleven Store,Convenience Goods,49.275991697173836,-123.12735905319141
170,2527,2020,N/A,1348,GRANVILLE ST,Vacant,Vacant,49.27562442353768,-123.12792346365256
171,2534,2020,N/A,433,HORNBY ST,Van Cha China Tea,Food & Beverage,49.28624846916131,-123.11674914416713
172,2536,2020,N/A,490,HORNBY ST,Tim Horton's,Food & Beverage,49.286022392094274,-123.11639925073582
173,2537,2020,N/A,518,HORNBY ST,Sapporo Ramen Shogun,Food & Beverage,49.28538797281386,-123.11707921196127
174,2540,2020,N/A,581,HORNBY ST,Copper Chimney Restaurant - Indian Grill & Bar,Food & Beverage,49.285306970690435,-123.11829597773787
175,2542,2020,101,580,HORNBY ST,Brascia's Clothing For Men,Service Commercial,49.28499827079988,-123.11766865614112
176,2545,2020,N/A,608,HORNBY ST,The Printing House Ltd,Service Commercial,49.28455298585024,-123.11834207920286
177,2551,2020,N/A,763,HORNBY ST,Caffe Artigiano Inc,Food & Beverage,49.28290921907629,-123.12192341063782
178,2561,2020,N/A,851,HORNBY ST,Aube Hair Salon,Service Commercial,49.28205532648003,-123.12321346155849
179,2566,2020,N/A,869,HORNBY ST,Boston Pizza,Food & Beverage,49.28205532648003,-123.12321346155849
180,2567,2020,N/A,905,HORNBY ST,Earls Restaurants (Hornby) Ltd,Food & Beverage,49.28157566920938,-123.12420172466877
181,2570,2020,N/A,947,HORNBY ST,Tim Horton's,Food & Beverage,49.28157566920938,-123.12420172466877
182,2584,2020,101,1001,HORNBY ST,Wall Flowers,Convenience Goods,49.280609435042415,-123.1258113527963
183,2587,2020,N/A,1010,HORNBY ST,Royal Bank,Service Commercial,49.27999824442466,-123.12484476801036
184,2590,2020,N/A,1062,HORNBY ST,Femme Free Showroom,Comparison Goods,49.27962630605496,-123.12579048867782
185,2591,2020,N/A,1064,HORNBY ST,Souzan Chi Tailoring & Alterations,Service Commercial,49.27962630605496,-123.12579048867782
186,2592,2020,N/A,1065,HORNBY ST,Wall Centre Dental,Service Commercial,49.280147180176,-123.12651056901292
187,2599,2020,N/A,1088,HORNBY ST,Salon Origins,Service Commercial,49.27962630605496,-123.12579048867782
188,2600,2020,N/A,1090,HORNBY ST,Jeweliette Jewelry,Comparison Goods,49.27962630605496,-123.12579048867782
189,2608,2020,N/A,1318,HORNBY ST,Barrette Salon,Service Commercial,49.27702579132671,-123.12972314778992
190,2613,2020,N/A,1351,HORNBY ST,Anchor Point Montessori,Service Commercial,49.277089947146365,-123.13077936544705
191,2615,2020,3,1353,HORNBY ST,Little Spa,Service Commercial,49.277089947146365,-123.13077936544705
192,2618,2020,N/A,1359,HORNBY ST,Reckless Bikes,Comparison Goods,49.277089947146365,-123.13077936544705
193,2624,2020,N/A,329,HOWE ST,Crest Jewellers,Comparison Goods,49.28653182643322,-123.11434780337117
194,2629,2020,N/A,410,HOWE ST,Bang and Olufsen,Comparison Goods,49.285665992365765,-123.11501515891854
195,2632,2020,N/A,455,HOWE ST,Lindt Chocolates,Convenience Goods,49.28569705296556,-123.11589626720881
196,2633,2020,N/A,456,HOWE ST,Cartier,Comparison Goods,49.2853928770122,-123.11542776726155
197,2642,2020,100,555,HOWE ST,International Arts Gallery,Comparison Goods,49.28482598898185,-123.11710457526705
198,2643,2020,N/A,565,HOWE ST,Feuille Luxury,Comparison Goods,49.284777312213876,-123.11717850646785
199,2646,2020,103,595,HOWE ST,DHL Express,Service Commercial,49.28460668985421,-123.11743646089614
200,2651,2020,110,840,HOWE ST,Smak - Healthy Fast Food,Food & Beverage,49.28109973566644,-123.12164510536734
201,2653,2020,170,840,HOWE ST,Lure Salon Inc,Service Commercial,49.28109973566644,-123.12164510536734
