id,type,street_count,vulnerability_score,longitude,latitude,transit_count,crime_count,stores_count,rtransit_count,schools_count,neighbors,crime_range,store_range,transit_range,rtransit_range,schools_range
17,Junction,3,0.0,-123.2151021,49.2665214,0,0,0,0,0,"[(18, 94.90823369, 3268), (16, 93.90349163, 3504), (38, 223.6429441, 7749)]",2.852208784717535,3.063131075608194,1.7405528953347253,0.0021694705666712314,0.06691895093201197
18,Junction,4,0.0,-123.2150712,49.26737487,0,0,0,0,0,"[(19, 94.72200849, 3045), (17, 94.90823369, 3268), (39, 223.6857617, 7748), (7, 328.4182499, 7824)]",3.2354568044983476,2.7714996739516042,1.8975999335328702,0.0021797685109521563,0.07082745897028844
19,Junction,3,0.8890951079525365,-123.21504,49.26822667,1,2,0,0,0,"[(20, 96.91955167, 2829), (18, 94.72200849, 3045), (40, 223.6479775, 7747)]",4.963230980369347,2.5360940893373756,2.520867861334048,0.0021659331535996192,0.07125013405975768
20,Junction,4,1.324564081967967,-123.2150088,49.26909824,1,2,0,0,0,"[(21, 130.85239, 2373), (19, 96.91955167, 2829), (41, 223.6463764, 7746), (6, 336.071241, 7823)]",4.841168573447195,2.3974607452337175,2.4237303071183987,0.0021916844652590845,0.06849885774169692
21,Junction,3,0.0,-123.214966,49.27027494,0,0,0,0,0,"[(22, 128.6205853, 2181), (20, 130.85239, 2373), (42, 223.5926545, 7745)]",2.7462281142940976,2.1796738014703947,1.248090532426899,0.002135593412793559,0.06013798315922759
22,Junction,4,0.0,-123.214924,49.27143158,0,0,0,0,0,"[(23, 130.9100982, 1958), (21, 128.6205853, 2181), (27, 111.7135732, 7744), (4, 436.4823547, 7822)]",2.447253780651359,2.084888285597797,1.0225548221232363,0.002110651277142556,0.056990012105830365
23,Junction,4,0.0,-123.2148808,49.2726088,0,0,0,0,0,"[(24, 130.8636732, 1740), (22, 130.9100982, 1958), (27, 172.0808436, 7691), (5, 442.2354413, 7761)]",2.519335181868166,2.0007677570063027,0.9678515974758415,0.0020828067996390286,0.05380714653910937
24,Junction,5,1.1695905424404989,-123.2148373,49.2737856,0,2,0,0,0,"[(25, 65.78279288, 1549), (23, 130.8636732, 1740), (43, 344.0830476, 7678), (28, 122.0821239, 7680), (1, 774.7263166, 7756)]",4.103165540726252,1.9246084455708283,0.9931361856919877,0.002055613824534241,0.05098907957542446
25,Junction,3,0.0,-123.2148151,49.27437714,0,0,0,0,0,"[(26, 160.602134, 1311), (24, 65.78279288, 1549), (48, 223.2788268, 7728)]",2.7442747286998443,1.8487023426079614,1.015832907670227,0.00202650027238472,0.04824540314470762
26,Junction,3,0.0,-123.2147625,49.27582138,1,0,0,0,0,"[(25, 160.602134, 1311), (49, 242.6901574, 7714)]",2.0771093978093194,1.7072387214311662,1.8018707866865737,0.001981377431256892,0.04341444676336601
27,Junction,3,0.0,-123.2133887,49.27140907,0,0,0,0,0,"[(23, 172.0808436, 7691), (43, 111.8386344, 7743), (22, 111.7135732, 7744)]",2.4859011190847315,2.2647400605177985,0.9997096561252536,0.0021637110737518983,0.06408154512927738
28,Junction,3,0.0,-123.2131595,49.27375918,0,0,0,0,0,"[(47, 101.2765861, 7679), (24, 122.0821239, 7680), (45, 158.3417743, 7706)]",2.731666482633932,1.9918834146654052,1.0143536336168386,0.0020880016430378525,0.05361757199624722
29,Junction,3,0.3734642804542691,-123.212325,49.25833512,1,1,0,0,0,"[(30, 110.6943175, 5451), (52, 221.505463, 7648), (8, 223.5496613, 7742)]",3.448895827433074,2.688467677452358,3.464303266878655,0.002093866116913461,0.07135975803499602
30,Junction,4,0.0,-123.2122887,49.25933056,0,0,0,0,0,"[(31, 100.5731935, 5261), (29, 110.6943175, 5451), (53, 221.4067963, 7647), (9, 223.5576821, 7741)]",3.139059405604411,3.039034602945711,1.9203497773165925,0.0021081206446877184,0.06994858362114433
31,Junction,4,0.2148744477060795,-123.2122541,49.26023494,0,1,0,0,0,"[(32, 100.5482615, 4844), (30, 100.5731935, 5261), (54, 221.2054186, 7646), (10, 223.7076711, 7740)]",4.377356800234247,3.515795578770663,1.5208264653076005,0.0021314509468908713,0.07026558737565196
32,Junction,4,1.1625676488786585,-123.2122209,49.26113913,0,2,0,0,0,"[(33, 100.5686682, 4634), (31, 100.5482615, 4844), (55, 221.1506481, 7645), (11, 223.7276842, 7739)]",5.571905861143809,4.255107719250208,1.3937700779075066,0.0021604715844944287,0.06933732759052039
