id,type,street_count,vulnerability_score,longitude,latitude,transit_count,crime_count,stores_count,rtransit_count,schools_count,neighbors
133,Junction,3,0.2627125872502283,-123.2012139,49.24743532,0,1,0,0,0,"[(183, 366.2014691, 7250), (130, 202.416524, 7260), (109, 175.8398994, 7335)]"
134,Junction,3,0.5341302945552173,-123.2012031,49.26458632,0,2,0,0,0,"[(132, 98.07257625, 3717), (144, 136.747195, 3918), (117, 129.0310702, 7339)]"
135,Junction,3,0.0,-123.2001506,49.22865336,0,0,0,0,0,"[(154, 136.6278917, 7208), (112, 244.6254516, 7308)]"
136,Psudo,2,0.0,-123.2001655,49.23503577,0,0,0,0,0,"[(142, 48.72707533, 163)]"
137,Junction,3,0.0,-123.200161,49.25814911,0,0,0,0,2,"[(138, 110.542433, 5333), (162, 221.2809923, 7249), (108, 220.1414522, 7334)]"
138,Junction,4,0.0,-123.2001254,49.25914319,0,0,0,0,0,"[(139, 100.5896717, 5157), (137, 110.542433, 5333), (164, 221.1969389, 7248), (110, 221.2681081, 7333)]"
139,Junction,4,0.0,-123.2000918,49.26004774,0,0,0,0,0,"[(140, 100.4724741, 4743), (138, 100.5896717, 5157), (165, 221.1001141, 7247), (111, 221.383611, 7332)]"
140,Junction,4,0.0,-123.2000614,49.26095129,0,0,0,0,0,"[(141, 100.5930049, 4516), (139, 100.4724741, 4743), (166, 221.1769081, 7246), (113, 221.3092514, 7331)]"
141,Junction,4,0.598956006466161,-123.2000291,49.2618559,0,1,0,0,0,"[(143, 100.4805548, 4299), (140, 100.5930049, 4516), (167, 221.0989041, 7245), (114, 221.3716371, 7330)]"
142,Junction,4,0.0,-123.1999121,49.23544143,0,0,0,0,0,"[(136, 48.72707533, 163), (156, 164.8336264, 7224), (129, 170.1434926, 7317)]"
143,Junction,4,0.5870367819374844,-123.1999993,49.26275953,0,1,0,0,0,"[(144, 102.6362893, 4112), (141, 100.4805548, 4299), (171, 221.321569, 7244), (115, 221.2070926, 7329)]"
144,Junction,4,0.0,-123.1999666,49.26368251,2,0,0,0,0,"[(134, 136.747195, 3918), (143, 102.6362893, 4112), (176, 221.4011775, 7243), (116, 221.2525133, 7328)]"
145,Dead end,1,0.0,-123.1997605,49.22905358,0,0,0,0,0,
146,Dead end,1,0.0,-123.1997495,49.23570141,0,0,0,0,0,
147,Junction,3,0.0,-123.1997508,49.26543325,0,0,0,0,0,"[(198, 303.0637161, 7056), (180, 270.8969942, 7179), (132, 115.8333871, 7337)]"
148,Dead end,1,0.0,-123.1993871,49.24910602,0,0,0,0,0,
149,Junction,3,0.0,-123.1994522,49.26885026,2,0,0,0,2,"[(131, 143.7273621, 2461), (287, 641.0509206, 6744), (120, 261.818175, 7336)]"
150,Dead end,1,0.0,-123.1987155,49.23402645,0,0,0,0,0,
151,Dead end,1,0.0,-123.1986729,49.25010432,0,0,0,0,0,
152,Psudo,2,0.0,-123.1984723,49.22968969,0,0,0,0,0,"[(112, 354.5663393, 7160), (154, 152.7087439, 7255)]"
153,Junction,3,0.0,-123.1983888,49.227188,0,0,0,0,0,"[(103, 513.6656102, 7164), (157, 110.7505339, 7235), (154, 128.2200339, 7236)]"
154,Junction,4,0.0,-123.1983763,49.22834134,0,0,0,0,0,"[(160, 93.24637709, 7207), (135, 136.6278917, 7208), (153, 128.2200339, 7236), (152, 152.7087439, 7255)]"
155,Junction,3,0.0,-123.1982732,49.23390745,0,0,0,0,0,"[(163, 175.7177373, 7223), (156, 71.69069372, 7225)]"
156,Junction,3,0.0,-123.1982572,49.23454931,0,0,0,0,0,"[(142, 164.8336264, 7224), (155, 71.69069372, 7225)]"
157,Junction,2,0.4342313267918116,-123.1974255,49.2264886,0,1,0,0,0,"[(153, 110.7505339, 7235), (159, 132.3896985, 9433)]"
158,Dead end,1,0.0,-123.1973458,49.234393,0,0,0,0,0,
159,Psudo,2,0.4898902730042049,-123.197103,49.22764525,0,1,0,0,0,"[(160, 76.73744018, 9355), (157, 132.3896985, 9433)]"
160,Junction,3,0.0,-123.1970957,49.2283355,0,0,0,0,0,"[(154, 93.24637709, 7207), (161, 190.5683282, 9309), (159, 76.73744018, 9355)]"
161,Psudo,2,0.0,-123.1970767,49.23004966,0,0,0,0,0,"[(163, 313.3453418, 9242), (160, 190.5683282, 9309)]"
162,Junction,3,0.0,-123.1971207,49.25810357,2,0,0,0,0,"[(164, 110.5043554, 5320), (195, 41.77647827, 7119), (137, 221.2809923, 7249)]"
163,Psudo,2,0.0,-123.196995,49.23285361,0,0,0,0,0,"[(155, 175.7177373, 7223), (161, 313.3453418, 9242)]"
164,Junction,4,0.7856781408072188,-123.1970862,49.25909732,0,1,0,0,0,"[(165, 100.4280736, 5147), (162, 110.5043554, 5320), (203, 221.4018885, 7117), (138, 221.1969389, 7248)]"
