COUNT;Geo Local Area;Geom;geo_point_2d
3;Kitsilano;"{""coordinates"": [-123.174770480376, 49.2644487111519], ""type"": ""Point""}";49.2644487111519, -123.174770480376
4;Kitsilano;"{""coordinates"": [-123.175313025471, 49.2644276679807], ""type"": ""Point""}";49.2644276679807, -123.175313025471
2;West Point Grey;"{""coordinates"": [-123.203800977197, 49.2634471825679], ""type"": ""Point""}";49.2634471825679, -123.203800977197
2;Kensington-Cedar Cottage;"{""coordinates"": [-123.090161525165, 49.2338683707429], ""type"": ""Point""}";49.2338683707429, -123.090161525165
2;South Cambie;"{""coordinates"": [-123.115751844888, 49.2557577695359], ""type"": ""Point""}";49.2557577695359, -123.115751844888
1;Sunset;"{""coordinates"": [-123.094583078919, 49.230800997611], ""type"": ""Point""}";49.230800997611, -123.094583078919
1;Sunset;"{""coordinates"": [-123.091194991177, 49.2237026280289], ""type"": ""Point""}";49.2237026280289, -123.091194991177
2;Grandview-Woodland;"{""coordinates"": [-123.074385377419, 49.2778665948523], ""type"": ""Point""}";49.2778665948523, -123.074385377419
1;Kitsilano;"{""coordinates"": [-123.165519874607, 49.2642972175113], ""type"": ""Point""}";49.2642972175113, -123.165519874607
3;Kensington-Cedar Cottage;"{""coordinates"": [-123.065769634656, 49.2395046310807], ""type"": ""Point""}";49.2395046310807, -123.065769634656
2;Mount Pleasant;"{""coordinates"": [-123.099456175952, 49.258635026208], ""type"": ""Point""}";49.258635026208, -123.099456175952
2;Mount Pleasant;"{""coordinates"": [-123.1000794334, 49.2586425567262], ""type"": ""Point""}";49.2586425567262, -123.1000794334
1;Kensington-Cedar Cottage;"{""coordinates"": [-123.067209109513, 49.2541632763824], ""type"": ""Point""}";49.2541632763824, -123.067209109513
5;Grandview-Woodland;"{""coordinates"": [-123.069145243851, 49.2756052308233], ""type"": ""Point""}";49.2756052308233, -123.069145243851
12;Hastings-Sunrise;"{""coordinates"": [-123.048831774678, 49.2808666370713], ""type"": ""Point""}";49.2808666370713, -123.048831774678
3;Fairview;"{""coordinates"": [-123.139073304189, 49.2614302138536], ""type"": ""Point""}";49.2614302138536, -123.139073304189
2;Downtown;"{""coordinates"": [-123.101899621598, 49.2834601726164], ""type"": ""Point""}";49.2834601726164, -123.101899621598
4;Mount Pleasant;"{""coordinates"": [-123.102753310221, 49.2626699470022], ""type"": ""Point""}";49.2626699470022, -123.102753310221
1;Sunset;"{""coordinates"": [-123.090281520102, 49.2289429787203], ""type"": ""Point""}";49.2289429787203, -123.090281520102
1;Kensington-Cedar Cottage;"{""coordinates"": [-123.068425371194, 49.2527903415678], ""type"": ""Point""}";49.2527903415678, -123.068425371194
6;Kensington-Cedar Cottage;"{""coordinates"": [-123.077462566001, 49.2329790661471], ""type"": ""Point""}";49.2329790661471, -123.077462566001
4;Strathcona;"{""coordinates"": [-123.098057057624, 49.279698916524], ""type"": ""Point""}";49.279698916524, -123.098057057624
8;Downtown;"{""coordinates"": [-123.101290194686, 49.2829666844165], ""type"": ""Point""}";49.2829666844165, -123.101290194686
3;Downtown;"{""coordinates"": [-123.12005515675, 49.2770380864582], ""type"": ""Point""}";49.2770380864582, -123.12005515675
2;Kitsilano;"{""coordinates"": [-123.17758204574, 49.2644943744872], ""type"": ""Point""}";49.2644943744872, -123.17758204574
1;West End;"{""coordinates"": [-123.127133869934, 49.2850563649938], ""type"": ""Point""}";49.2850563649938, -123.127133869934
16;Downtown;"{""coordinates"": [-123.107612858382, 49.2817663197563], ""type"": ""Point""}";49.2817663197563, -123.107612858382
11;Mount Pleasant;"{""coordinates"": [-123.096186704202, 49.2629932660051], ""type"": ""Point""}";49.2629932660051, -123.096186704202
9;Strathcona;"{""coordinates"": [-123.098143905205, 49.2800911136038], ""type"": ""Point""}";49.2800911136038, -123.098143905205
9;Strathcona;"{""coordinates"": [-123.098239327898, 49.2800927416007], ""type"": ""Point""}";49.2800927416007, -123.098239327898
4;Kitsilano;"{""coordinates"": [-123.155337654835, 49.2722122276191], ""type"": ""Point""}";49.2722122276191, -123.155337654835
1;West End;"{""coordinates"": [-123.123946534342, 49.285761972971], ""type"": ""Point""}";49.285761972971, -123.123946534342
13;Strathcona;"{""coordinates"": [-123.097210860245, 49.2778683114332], ""type"": ""Point""}";49.2778683114332, -123.097210860245
2;Mount Pleasant;"{""coordinates"": [-123.099224718304, 49.2679059725916], ""type"": ""Point""}";49.2679059725916, -123.099224718304
