Geom,Geo Local Area,id,address,category,name,latitude,longitude,junction_id,junction_dst
"{""coordinates"": [-123.16209828723368, 49.238114800850234], ""type"": ""Point""}",Arbutus-Ridge,104,2490 W 37th Av,Independent School,Ivy Montessori School,49.2381148009,-123.162098287,934,48.331267802385405
"{""coordinates"": [-123.08804322, 49.22104214306744], ""type"": ""Point""}",Sunset,105,801 E 54th Av,Public School,John Henderson Annex,49.2210421431,-123.08804322,3808,94.24362739732477
"{""coordinates"": [-123.17345921, 49.23616824506754], ""type"": ""Point""}",Dunbar-Southlands,106,5555 Carnarvon St,Public School,Kerrisdale Elementary,49.2361682451,-123.17345921,672,59.731588756440786
"{""coordinates"": [-123.04415722000002, 49.22530010406748], ""type"": ""Point""}",Killarney,107,6454 Killarney St,Public School,Killarney Secondary,49.2253001041,-123.04415722,5732,63.0479107701899
"{""coordinates"": [-123.14937705, 49.262518934067664], ""type"": ""Point""}",Kitsilano,108,1936 W 10th Av,Public School,Lord Tennyson Elementary,49.2625189341,-123.14937705,1277,91.37492115179617
"{""coordinates"": [-123.06467911, 49.280723909067746], ""type"": ""Point""}",Grandview-Woodland,109,1950 E Hastings St,StrongStart BC,MacDonald StrongStart Centre,49.2807239091,-123.06467911,4769,80.90519176784231
"{""coordinates"": [-123.12761225509908, 49.23342156632536], ""type"": ""Point""}",Oakridge,110,5750 Oak St,Independent School,Pacific Torah Institute,49.2334215663,-123.127612255,2162,58.78459992343866
"{""coordinates"": [-123.12511331828341, 49.28108362095662], ""type"": ""Point""}",Downtown,111,981 Nelson St,Independent School,Pattison High School,49.281083621,-123.125113318,2290,63.39921770657862
"{""coordinates"": [-123.12511331828341, 49.28108362095662], ""type"": ""Point""}",Downtown,112,981 Nelson St,Independent School,Pattison School,49.281083621,-123.125113318,2290,63.39921770657862
"{""coordinates"": [-123.15343060436416, 49.23728903611385], ""type"": ""Point""}",Shaughnessy,113,5350 East Boulevard,Public School,Point Grey Secondary,49.2372890361,-123.153430604,1107,146.41032311819316
"{""coordinates"": [-123.15157081, 49.23724621006754], ""type"": ""Point""}",Shaughnessy,114,5300 Maple St,Public School,Quilchena Elementary,49.2372462101,-123.15157081,1231,100.93489352284935
"{""coordinates"": [-123.11860774594169, 49.20724201501598], ""type"": ""Point""}",Marpole,115,8610 Ash St,Independent School,Royal Canadian College,49.207242015,-123.118607746,2534,33.66042961812428
"{""coordinates"": [-123.0348073745407, 49.242891620676865], ""type"": ""Point""}",Renfrew-Collingwood,116,3323 Wellington Av,Public School,Sir Wilfred Grenfell Community,49.2428916207,-123.034807375,6072,98.44099239477765
"{""coordinates"": [-123.12504721, 49.21776253406744], ""type"": ""Point""}",Marpole,117,7350 Laurel St,Public School,Sir Wilfrid Laurier Elementary,49.2177625341,-123.12504721,2257,85.35460801521873
"{""coordinates"": [-123.03187058558184, 49.263648890401456], ""type"": ""Point""}",Hastings-Sunrise,118,2325 Cassiar St,StrongStart BC,Thunderbird StrongStart Centre,49.2636488904,-123.031870586,6237,88.29581385943337
"{""coordinates"": [-123.05559853, 49.28626345506777], ""type"": ""Point""}",Hastings-Sunrise,119,2450 Cambridge St,StrongStart BC,Tillicum Annex StrongStart Centre,49.2862634551,-123.05559853,5232,75.54835131171998
"{""coordinates"": [-123.05559853, 49.28626345506777], ""type"": ""Point""}",Hastings-Sunrise,120,2450 Cambridge St,Public School,Tillicum Community Annex,49.2862634551,-123.05559853,5232,75.54835131171998
"{""coordinates"": [-123.16460607, 49.250178756067605], ""type"": ""Point""}",Arbutus-Ridge,121,4170 Trafalgar St,Public School,Trafalgar Elementary,49.2501787561,-123.16460607,870,52.25690380523657
"{""coordinates"": [-123.14026052001878, 49.26329988232251], ""type"": ""Point""}",Fairview,122,1580 W Broadway,Public School,Vancouver Alternate,49.2632998823,-123.14026052,1618,65.3801508411506
"{""coordinates"": [-123.09279776, 49.23195715006752], ""type"": ""Point""}",Sunset,123,530 E 41st Av,Public School,Vancouver Learning Network,49.2319571501,-123.09279776,3551,129.65205763229775
"{""coordinates"": [-123.12682202118758, 49.2475796718668], ""type"": ""Point""}",South Cambie,124,998 W 26th Av,Independent School,Vancouver Talmud Torah Elementary,49.2475796719,-123.126822021,2184,69.09205215016055
"{""coordinates"": [-123.04453612333309, 49.284984466234356], ""type"": ""Point""}",Hastings-Sunrise,125,15 N Renfrew St,Independent School,West Coast Christian School,49.2849844662,-123.044536123,5749,42.06175972076333
"{""coordinates"": [-123.20150739365414, 49.26706634514379], ""type"": ""Point""}",West Point Grey,126,4125 W 8th Av,Independent School,West Point Grey Academy,49.2670663451,-123.201507394,119,100.74378192224266
"{""coordinates"": [-123.08031429999998, 49.27859426906773], ""type"": ""Point""}",Strathcona,127,1130 Keefer St,StrongStart BC,Admiral Seymour StrongStart Centre,49.2785942691,-123.0803143,4142,79.17986649461447
"{""coordinates"": [-123.12579095999999, 49.23963096106753], ""type"": ""Point""}",South Cambie,128,5025 Willow St,Public School,BC Childrens Hosp School Program,49.2396309611,-123.12579096,2360,157.47780391469107
"{""coordinates"": [-123.18233379, 49.26648700606768], ""type"": ""Point""}",Kitsilano,129,2251 Collingwood St,Public School,Bayview Community Elementary,49.2664870061,-123.18233379,481,58.12991725639267
"{""coordinates"": [-123.14306239951357, 49.251669525820965], ""type"": ""Point""}",Shaughnessy,130,1690 Matthews Av,Public School,Canuck Place School Program,49.2516695258,-123.1430624,1521,45.062187953787834
"{""coordinates"": [-123.09507768504591, 49.27155962112064], ""type"": ""Point""}",Strathcona,131,438 Terminal Av,Independent School,Columbia College,49.2715596211,-123.095077685,3477,56.925446358458686
"{""coordinates"": [-123.05758354036608, 49.226406104158166], ""type"": ""Point""}",Victoria-Fraserview,132,6344 Nanaimo St,Independent School,Corpus Christi School,49.2264061042,-123.05758354,5058,111.2437066427409
"{""coordinates"": [-123.13634890999998, 49.209962411067416], ""type"": ""Point""}",Marpole,133,8370 Cartier St,StrongStart BC,David Lloyd George StrongStart Centre,49.2099624111,-123.13634891,1839,105.7606413777025
"{""coordinates"": [-123.05829331021336, 49.21331811031946], ""type"": ""Point""}",Victoria-Fraserview,134,2421 Scarboro Av,Public School,David Oppenheimer Elementary,49.2133181103,-123.05829331,5037,78.84320186335216
"{""coordinates"": [-123.17067418, 49.26597990206767], ""type"": ""Point""}",Kitsilano,135,2896 W 6th Av,Public School,General Gordon Elementary,49.2659799021,-123.17067418,714,37.39700739861304
"{""coordinates"": [-123.06163307000001, 49.24761203506759], ""type"": ""Point""}",Kensington-Cedar Cottage,136,4105 Gladstone St,Public School,Gladstone Secondary,49.2476120351,-123.06163307,4878,77.91121506969364
"{""coordinates"": [-123.10879442, 49.21726779206743], ""type"": ""Point""}",Marpole,137,7455 Ontario St,Public School,J.W. Sexsmith Community Elementary,49.2172677921,-123.10879442,2867,86.05002590610718
