stop_code,stop_id,stop_name,zone_id,latitude,longitude,junction_id,junction_dst
50682,689,Westbound E Broadway @ Nanaimo St,BUS ZN,49.26234,-123.057336,5188,58.66476928848909
51561,1573,Southbound Nanaimo St @ E 28 Ave,BUS ZN,49.24547,-123.056785,5162,11.365401086225035
51562,1574,Southbound Nanaimo St @ Brock St,BUS ZN,49.243673,-123.056787,5158,11.53945776830562
59751,10357,Westbound W 6th Ave @ Alder Crossing,BUS ZN,49.266199,-123.132576,1993,38.11770007920549
59761,10352,Westbound E 2nd Ave @ Main St,BUS ZN,49.269283,-123.101217,3242,41.103277766415374
54832,4884,Southbound Howe St @ Nelson St,BUS ZN,49.279698,-123.124449,2350,39.86312817731224
59754,10359,Eastbound W 6th Ave @ Heather St,BUS ZN,49.265832,-123.120144,2516,28.35167315958718
60517,12749,Southbound Main St @ E Broadway,BUS ZN,49.26318,-123.101149,3227,33.717120545449724
59889,12318,Kootenay Loop @ Bay 1,BUS ZN,49.281403,-123.025625,6457,32.28428516937039
60746,12744,Westbound W 49 Ave @ Yew St,BUS ZN,49.227274,-123.159273,1026,36.29610917386432
50825,832,Northbound Fraser St @ E 52 Ave,BUS ZN,49.223033,-123.090707,3655,35.732062912993584
50823,830,Northbound Fraser St @ E 57 Ave,BUS ZN,49.218589,-123.090819,3643,38.6825276443307
50824,831,Northbound Fraser St @ E 54 Ave,BUS ZN,49.22126,-123.090756,3650,46.029800813691146
50829,836,Northbound Fraser St @ E 45 Ave,BUS ZN,49.229442,-123.090556,3665,30.178481992753195
50830,837,Northbound Fraser St @ E 43 Ave,BUS ZN,49.231265,-123.0905,3667,31.8944307264537
50827,834,Northbound Fraser St @ E 49 Ave,BUS ZN,49.225766,-123.090643,3659,34.3731100869416
50832,839,Northbound Fraser St @ E 39 Ave,BUS ZN,49.235102,-123.090364,3669,36.58782262374683
61110,11623,Southbound Slocan St @ Kingsway,BUS ZN,49.240272,-123.053886,5355,30.114164527136925
51714,1728,Southbound Rupert St @ E 22 Ave,BUS ZN,49.25033,-123.033942,6122,31.4301606041205
51712,1726,Southbound Rupert St @ E 18 Ave,BUS ZN,49.253698,-123.033945,6125,34.73020808763333
51713,1727,Southbound Rupert St @ E 20 Ave,BUS ZN,49.252011,-123.033936,6123,35.61212695131258
51710,1724,Southbound Rupert St @ Grandview Hwy,BUS ZN,49.257755,-123.033953,6131,45.60817837772426
51711,1725,Southbound Rupert St @ E 16 Ave,BUS ZN,49.255276,-123.03393,6128,34.13157865373888
51706,1720,Southbound Rupert St @ E 7th Ave,BUS ZN,49.263542,-123.033894,6136,32.40682179416069
51707,1721,Southbound Rupert St @ E Broadway,BUS ZN,49.262185,-123.03393,6134,35.96247166718654
51576,1588,Westbound W King Edward Ave @ Laurel St,BUS ZN,49.249302,-123.125107,2298,33.36199543428389
51577,1589,Westbound W King Edward Ave @ Oak St,BUS ZN,49.249375,-123.128078,2187,43.02830092242366
51570,1582,Westbound E King Edward Ave @ Prince Edward St,BUS ZN,49.248783,-123.097125,3414,8.881981842033188
51571,1583,Westbound E King Edward Ave @ Main St,BUS ZN,49.248868,-123.101632,3216,45.542161251953
51568,1580,Westbound E King Edward Ave @ Fraser St,BUS ZN,49.248724,-123.090591,3685,34.01600999880546
51569,1581,Westbound E King Edward Ave @ St. George St,BUS ZN,49.248752,-123.094411,3543,27.86027241146373
51574,1586,King Edward Station @ Bay 1,BUS ZN,49.249121,-123.116003,2674,46.94340798333895
51575,1587,Westbound W King Edward Ave @ Heather St,BUS ZN,49.249205,-123.120844,2479,38.51622334044136
51572,1584,Westbound W King Edward Ave @ Ontario St,BUS ZN,49.248922,-123.105388,3025,31.41564124973802
51573,1585,Westbound W King Edward Ave @ Columbia St,BUS ZN,49.249023,-123.110516,2853,38.02014070858944
50456,460,Northbound Oak St @ W King Edward Ave,BUS ZN,49.249632,-123.127357,2187,46.875527513439245
50213,214,Northbound Granville St @ W 14 Ave,BUS ZN,49.25921,-123.138595,1711,35.00312975220374
50214,215,Northbound Granville St @ W 12 Ave,BUS ZN,49.261157,-123.13852,1714,44.43972400398703
50211,212,Northbound Granville St @ Matthews Ave,BUS ZN,49.253467,-123.138804,1706,37.96930783348484
50212,213,Northbound Granville St @ W 16 Ave,BUS ZN,49.257367,-123.138663,1709,36.55976624954292
50209,210,Northbound Granville St @ W King Edward Ave,BUS ZN,49.250127,-123.138924,1702,78.49681443000249
50210,211,Northbound Granville St @ Balfour Ave,BUS ZN,49.252263,-123.138834,1705,39.822537698927206
50217,218,Northbound Granville St @ W 7th Ave,BUS ZN,49.265651,-123.138349,1724,35.63428850015848
61930,12071,Westbound Powell St @ Clark Dr,BUS ZN,49.283161,-123.076463,4257,43.08414902647889
61933,12070,Eastbound Cordova Diversion @ Hawks Ave,BUS ZN,49.282052,-123.086717,3817,8.233832263337376
50611,11477,Eastbound Robson St @ Bidwell St,BUS ZN,49.29023,-123.133644,1925,28.803307263242292
50536,11475,Southbound Granville St @ Drake St,BUS ZN,49.275854,-123.128375,2150,26.697659215277525
51941,11473,Northbound Burrard St @ W 3rd Ave,BUS ZN,49.269179,-123.145428,1458,34.23385095577673
50911,919,Westbound E Broadway @ Lakewood Dr,BUS ZN,49.262356,-123.062394,4927,29.966384463252826
50910,918,Westbound E Broadway @ Kamloops St,BUS ZN,49.262127,-123.055187,5296,38.44112927818809
50907,915,Westbound E Broadway @ Renfrew St,BUS ZN,49.262097,-123.044962,5720,53.15639902094505
50909,917,Westbound E Broadway @ Penticton St,BUS ZN,49.262111,-123.051889,5401,24.523142260312543
50908,916,Westbound E Broadway @ Slocan St,BUS ZN,49.262111,-123.050045,5506,36.89852948334734
50904,911,Westbound E Broadway @ Rupert St,BUS ZN,49.262009,-123.034312,6134,43.56780253336885
50903,910,Westbound E Broadway @ Cassiar St,BUS ZN,49.262053,-123.031548,6235,40.06198934382088
50905,912,Westbound E Broadway @ Windermere St,BUS ZN,49.261989,-123.037125,6039,46.55906406167382
61684,11813,Westbound Great Northern Way @ Thornton St,BUS ZN,49.266906,-123.09471,3489,30.38203001664629
58003,8078,Waterfront Station @ Platform 1,ZN 1,49.285962,-123.111516,2796,77.19239963592509
57996,8071,29th Avenue Station @ Platform 1,ZN 1,49.24431,-123.04608,5663,36.20178622280218
57995,8070,Joyce-Collingwood Station @ Platform 1,ZN 1,49.23843,-123.031759,6209,20.6618621090805
57998,8073,Commercial-Broadway Station @ Platform 3,ZN 1,49.262311,-123.069077,4561,48.63447709961985
57997,8072,Nanaimo Station @ Platform 1,ZN 1,49.248334,-123.055868,5167,56.18040981365221
58000,8075,Stadium-Chinatown Station @ Platform 1,ZN 1,49.279271,-123.109109,2906,74.50246218639833
57999,8074,Main Street-Science World Station @ Platform 1,ZN 1,49.273172,-123.10035,3271,50.896593627124886
58002,8077,Burrard Station @ Platform 1,ZN 1,49.28558,-123.119598,2529,16.233199949443417
58001,8076,Granville Station @ Platform 1,ZN 1,49.283193,-123.115674,2661,19.1312760358555
51208,1217,Northbound Victoria Dr @ E 51 Ave,BUS ZN,49.223425,-123.065653,4732,8.392258693852073
51205,1214,Northbound Victoria Dr @ Brigadoon Ave,BUS ZN,49.21691,-123.065874,4712,28.06039651723444
51206,1215,Northbound Victoria Dr @ Upland Dr,BUS ZN,49.218398,-123.065832,4714,37.78707050991413
51102,1111,Southbound Arbutus St @ Valley Dr,BUS ZN,49.244919,-123.153466,1174,32.557298835187844
51104,1113,Southbound Arbutus St @ W 35 Ave,BUS ZN,49.239992,-123.155467,1114,28.957911569203368
51103,1112,Southbound Arbutus St @ W 32 Ave,BUS ZN,49.242695,-123.15359,1173,37.0273524592856
51106,1115,Southbound West Blvd @ W 39 Ave,BUS ZN,49.236097,-123.155609,1105,38.34957622904771
51105,1114,Southbound West Blvd @ W 37 Ave,BUS ZN,49.23803,-123.155552,1109,30.729705865329013
51108,1117,Southbound West Blvd @ W 43 Ave,BUS ZN,49.232443,-123.155746,1094,31.68707624838376
51107,1116,Southbound West Blvd @ W 41 Ave,BUS ZN,49.234303,-123.155677,1099,31.21640585207013
51210,1219,Northbound Victoria Dr @ Waverley Ave,BUS ZN,49.227465,-123.065556,4746,16.89473896773912
51987,2004,Eastbound E 49 Ave @ Elliott St,BUS ZN,49.224744,-123.054297,5287,32.673510768384624
51988,2005,Eastbound E 49 Ave @ Vivian St,BUS ZN,49.22471,-123.049761,5480,40.41056070310717
60745,12168,Dunbar Loop @ Bay 3,BUS ZN,49.234673,-123.186318,343,38.18860572468708
61360,11262,Southbound Oak St @ W 72 Ave,BUS ZN,49.205381,-123.130464,2061,30.069078371507278
61040,11260,Olympic Village Station @ Bay 1,BUS ZN,49.266245,-123.115944,2649,26.02736541967173
51787,1801,Joyce Station @ Bay 4,BUS ZN,49.237907,-123.031047,6275,48.36553512974241
50199,199,Eastbound W 41 Ave @ Granville St,BUS ZN,49.23422,-123.138484,1737,37.533942641286
50198,198,Westbound W 41 Ave @ Granville St,BUS ZN,49.234391,-123.139167,1670,30.356124612025216
50195,195,Westbound W 41 Ave @ Oak St,BUS ZN,49.234081,-123.128633,2164,44.30969918444698
50197,197,Westbound W 41 Ave @ Cartier St,BUS ZN,49.234332,-123.137,1775,15.824447020903987
50196,196,Westbound W 41 Ave @ Selkirk St,BUS ZN,49.234201,-123.132951,1945,28.57787367255676
50190,190,Southbound Richards St @ Dunsmuir St,BUS ZN,49.281944,-123.115253,2719,74.56484266118245
59040,193,Westbound Robson St @ Granville St,BUS ZN,49.28128,-123.119551,2515,20.923651467453116
60552,12791,Westbound W Broadway @ Hemlock St,BUS ZN,49.263652,-123.134884,1928,86.48260690063626
50843,850,Northbound Fraser St @ E 17 Ave,BUS ZN,49.255774,-123.089737,3694,29.657847299120963
50844,851,Northbound Fraser St @ E 14 Ave,BUS ZN,49.258292,-123.089096,3726,43.932112879321096
50845,852,Northbound Fraser St @ E 12 Ave,BUS ZN,49.260077,-123.089055,3729,41.25302022300628
50846,853,Northbound Fraser St @ E 10 Ave,BUS ZN,49.261837,-123.08903,3731,35.89183300746761
50852,859,Westbound W Hastings St @ Richards St,BUS ZN,49.284435,-123.112367,2765,43.64126954552928
58401,8907,Renfrew Station @ Bay 1,BUS ZN,49.25903,-123.044439,5716,22.586884457250132
60709,1304,Southbound Knight St @ E 17 Ave,BUS ZN,49.255003,-123.076054,4290,35.21705841664085
51296,1307,Southbound Knight St @ E 23 Ave,BUS ZN,49.249651,-123.076243,4279,27.649912169468884
51289,1300,Southbound Clark Dr @ E 6th Ave,BUS ZN,49.264806,-123.07763,4216,43.99552266079962
51290,1301,Southbound Clark Dr @ E Broadway,BUS ZN,49.262018,-123.07773,4212,43.54996469921203
