Unit,id,civic_number,street_name,name,category,latitude,longitude,junction_id,junction_dst
102,398,2025,W BROADWAY,Evolve Nurturing Vitality,Convenience Goods,49.26409432914523,-123.1512082012548,1279,61.06114260509338
103,399,2025,W BROADWAY,Maple Walkin Clinic,Service Commercial,49.26409432914523,-123.1512082012548,1279,61.06114260509338
106,402,2025,W BROADWAY,Arbutus Laser,Service Commercial,49.26409432914523,-123.1512082012548,1279,61.06114260509338
N/A,406,2060,W BROADWAY,Better Bodies,Entertainment and Leisure,49.263499740610236,-123.15149377847663,1279,77.84825148053191
N/A,409,2088,W BROADWAY,Liquor Store,Convenience Goods,49.263499740610236,-123.15149377847663,1279,77.84825148053191
N/A,416,329,W BROADWAY,Broadway Locksmith,Comparison Goods,49.263348366287374,-123.11181896372182,2816,67.38700508880359
N/A,421,369,W BROADWAY,The Art of Loving,Convenience Goods,49.2633561303771,-123.11223425230284,2758,51.22832783817943
N/A,423,379,W BROADWAY,La Pina Lash Room,Service Commercial,49.2633561303771,-123.11223425230284,2758,51.22832783817943
N/A,425,388,W BROADWAY,California Sushi,Food & Beverage,49.26287839512111,-123.11245515909505,2758,45.47429392960656
N/A,426,395,W BROADWAY,St. John's Academy,Service Commercial,49.26336398261231,-123.1126498628383,2758,26.914188685440003
N/A,429,401,W BROADWAY,Menya Ramen,Food & Beverage,49.263372961304434,-123.11313352263434,2758,28.36670182713489
N/A,432,409,W BROADWAY,Happy Currency Exchange,Service Commercial,49.26337690501336,-123.11334073499103,2758,39.92447952828421
N/A,434,411,W BROADWAY,Evolve Virtual Reality,Entertainment and Leisure,49.26337690501336,-123.11334073499103,2758,39.92447952828421
N/A,440,453,W BROADWAY,Broadway Mini-Mart,Convenience Goods,49.26339163626768,-123.11413500652114,2698,56.78285468453876
N/A,443,457,W BROADWAY,Extreme Xe Hua Pho,Food & Beverage,49.263394200087845,-123.11427314529489,2698,47.64307882224542
103,447,1001,W BROADWAY,The Cooperators Unit #103,Service Commercial,49.26371361759472,-123.12726898307565,2238,61.27396657369888
104,448,1001,W BROADWAY,Simmons Mattress Gallery,Comparison Goods,49.26371361759472,-123.12726898307565,2238,61.27396657369888
N/A,452,1016,W BROADWAY,Taste of Vietnam,Food & Beverage,49.263107391556005,-123.12708133057717,2238,49.214860777421855
101,458,1055,W BROADWAY,Judy Chen Dentistry,Service Commercial,49.26372213590571,-123.1277923176152,2127,91.14894397778237
N/A,461,1063,W BROADWAY,John 3:16 Malaysian,Food & Beverage,49.26372724584946,-123.12810607046985,2127,70.47712791575728
N/A,463,1067,W BROADWAY,Vancouver Chun Fun How Boba Tea,Food & Beverage,49.26372724584946,-123.12810607046985,2127,70.47712791575728
N/A,467,1082,W BROADWAY,Le Lash Lounge,Service Commercial,49.2631330291643,-123.12865053906033,2127,41.24994933982288
N/A,471,1093,W BROADWAY,King Queen Spa,Service Commercial,49.26373746462601,-123.12873389387406,2127,37.36293131864889
N/A,474,1111,W BROADWAY,Finlandia,Convenience Goods,49.26374483877105,-123.12937665467446,2127,44.93824173175246
N/A,483,1154,W BROADWAY,Babies R' Us,Comparison Goods,49.26316708247389,-123.13070771899578,2028,57.51742360169252
N/A,489,1215,W BROADWAY,Seoul House Restaurant,Food & Beverage,49.2637815064169,-123.13169394418185,2028,42.38784559822335
N/A,491,1220,W BROADWAY,Save On Cartridge Plus,Service Commercial,49.26318323688294,-123.13182101991353,2028,47.71013559571312
N/A,493,1228,W BROADWAY,Sparkle Nails,Service Commercial,49.26318323688294,-123.13182101991353,2028,47.71013559571312
N/A,495,1232,W BROADWAY,Lily's Fashions,Comparison Goods,49.26318323688294,-123.13182101991353,2028,47.71013559571312
N/A,496,1233,W BROADWAY,Opus Oral Health,Service Commercial,49.26378814561071,-123.13211248579914,2028,65.72997087957417
N/A,515,1288,W BROADWAY,Subway,Food & Beverage,49.26319829962448,-123.13276274453696,1928,77.2877485043483
N/A,516,1295,W BROADWAY,Dr. Wong,Service Commercial,49.2640065483491,-123.13322410525215,1929,57.084072225747285
N/A,518,1302,W BROADWAY,Wildbirds Unlimited,Comparison Goods,49.26322143548171,-123.13418984754829,1928,47.69107824163685
N/A,521,1316,W BROADWAY,Domino Pizza,Food & Beverage,49.26322143548171,-123.13418984754829,1928,47.69107824163685
150,523,1333,W BROADWAY,Lan Fong Yuen,Food & Beverage,49.26400954106703,-123.13437062493578,1929,68.372986799092
160,524,1333,W BROADWAY,Shizenya Restaurant  #160,Food & Beverage,49.26400954106703,-123.13437062493578,1929,68.372986799092
102,533,1401,W BROADWAY,Meta Public Notary,Service Commercial,49.263857802843816,-123.13639490663122,1827,40.731817963585726
N/A,535,1402,W BROADWAY,Harmony Adult Video,Service Commercial,49.26325781303087,-123.13645396941568,1827,42.60533594593003
N/A,536,1410,W BROADWAY,Broadway Restaurant,Food & Beverage,49.26325781303087,-123.13645396941568,1827,42.60533594593003
N/A,553,1470,W BROADWAY,Jordans,Comparison Goods,49.26327872133999,-123.13776319795389,1720,66.41829405872272
N/A,562,1539,W BROADWAY,Loonie Plus,Comparison Goods,49.26390993526861,-123.13971875308266,1720,92.39090216550815
N/A,564,1545,W BROADWAY,Chatime,Food & Beverage,49.26391673539736,-123.14013712553012,1618,70.44350991822955
N/A,565,1555,W BROADWAY,ADG Dental,Service Commercial,49.26391673539736,-123.14013712553012,1618,70.44350991822955
105,568,1595,W BROADWAY,Manhattan Jewellers,Comparison Goods,49.26409865207943,-123.14053382517695,1619,58.61095354941193
N/A,571,2460,HEATHER ST,Capelli Hair Salon,Service Commercial,49.263587975208914,-123.11961837685027,2510,37.079295018822144
N/A,573,2547,HEATHER ST,Forme Hair Salon,Service Commercial,49.26299549026193,-123.12012590870486,2510,38.420350899109685
N/A,575,526,W BROADWAY,Virgin Mobile,Service Commercial,49.262927513262504,-123.11581902979303,2698,75.95512513419779
100,578,532,W BROADWAY,Chipotle,Food & Beverage,49.262930680715854,-123.11601604031092,2698,89.0195793204099
N/A,581,546,W BROADWAY,Yolks,Food & Beverage,49.262939098129316,-123.11653922279625,2593,77.25439285749495
N/A,585,561,W BROADWAY,Freshii,Food & Beverage,49.26356440086594,-123.11724870772689,2593,38.52904028657073
N/A,586,562,W BROADWAY,Victoria's Supplements,Convenience Goods,49.262939098129316,-123.11653922279625,2593,77.25439285749495
N/A,587,564,W BROADWAY,Oxygen Yoga,Entertainment and Leisure,49.26294751415389,-123.11706232573992,2593,46.04658804186234
N/A,588,568,W BROADWAY,Radian Hair and Nail Salon,Service Commercial,49.26294751415389,-123.11706232573992,2593,46.04658804186234
N/A,589,575,W BROADWAY,Cactus Club,Food & Beverage,49.26356440086594,-123.11724870772689,2593,38.52904028657073
6,593,601,W BROADWAY,Broadway Plaza Family Practice,Service Commercial,49.26394536213197,-123.11881004114322,2511,78.89630739584341
15,597,601,W BROADWAY,"Eva Un, Solicitor",Service Commercial,49.26394536213197,-123.11881004114322,2511,78.89630739584341
N/A,603,602,W BROADWAY,Rogue Kitchen and Wet Bar,Food & Beverage,49.26296400649327,-123.11817517678944,2593,59.46846108517277
N/A,608,614,W BROADWAY,Sushi Dragon,Food & Beverage,49.26296400649327,-123.11817517678944,2593,59.46846108517277
N/A,613,664,W BROADWAY,Scout House,Comparison Goods,49.262977442315396,-123.11901241205341,2510,70.5774715500868
N/A,621,693,W BROADWAY,Pokedoki,Food & Beverage,49.263587975208914,-123.11961837685027,2510,37.079295018822144
N/A,627,709,W BROADWAY,Golds Gym Elite,Entertainment and Leisure,49.263644240166784,-123.12042117056245,2510,56.619545713258496
N/A,630,711,W BROADWAY,Holiday Inn Casino,Entertainment and Leisure,49.263644240166784,-123.12042117056245,2510,56.619545713258496
N/A,631,716,W BROADWAY,Image Optometry,Service Commercial,49.26299887183984,-123.12033483261231,2510,47.688675214857184
N/A,634,730,W BROADWAY,Pacific Poke,Food & Beverage,49.26301067785957,-123.12106691722491,2422,64.05963541801334
N/A,638,745,W BROADWAY,Tan Dentistry,Service Commercial,49.263612795352984,-123.12094159609997,2422,70.50557827113589
101,640,777,W BROADWAY,The Medicine Shop,Convenience Goods,49.26361687396619,-123.12136005707076,2422,45.91538949027347
103,641,777,W BROADWAY,Hear Canada,Service Commercial,49.26361687396619,-123.12136005707076,2422,45.91538949027347
N/A,644,777,W BROADWAY,A&W,Food & Beverage,49.26361687396619,-123.12136005707076,2422,45.91538949027347
N/A,650,802,W BROADWAY,Ta Ke Don Japanese Food,Food & Beverage,49.26303149444888,-123.12228591509889,2422,47.641665823106024
109,654,805,W BROADWAY,Wellness Pharmacy,Convenience Goods,49.26380291713639,-123.12223573176146,2423,58.62743734916694
111,655,805,W BROADWAY,Tony's Coffee,Food & Beverage,49.26380291713639,-123.12223573176146,2423,58.62743734916694
N/A,659,812,W BROADWAY,Fairmont Optical,Comparison Goods,49.26303149444888,-123.12228591509889,2422,47.641665823106024
N/A,661,820,W BROADWAY,Just For Hair,Service Commercial,49.263034791706595,-123.12249517583906,2422,59.4283814518414
N/A,664,833,W BROADWAY,Tru Value Optical,Comparison Goods,49.26363719978075,-123.12268173980881,2422,72.36026057069563
N/A,665,837,W BROADWAY,Modern Nails,Service Commercial,49.26363719978075,-123.12268173980881,2422,72.36026057069563
